sample: 0, mc_sample: 100, mean reward: 30.08, std reward: 4.388
sample: 1, mc_sample: 100, mean reward: 19.089, std reward: 3.335
sample: 2, mc_sample: 100, mean reward: 38.389, std reward: 4.684
sample: 3, mc_sample: 100, mean reward: 21.003, std reward: 3.561
sample: 4, mc_sample: 100, mean reward: 30.804, std reward: 4.107
sample: 5, mc_sample: 100, mean reward: 23.858, std reward: 3.769
sample: 6, mc_sample: 100, mean reward: 35.573, std reward: 3.777
sample: 7, mc_sample: 100, mean reward: 33.937, std reward: 4.267
sample: 8, mc_sample: 100, mean reward: 18.68, std reward: 3.254
sample: 9, mc_sample: 100, mean reward: 30.895, std reward: 3.931
sample: 10, mc_sample: 100, mean reward: 24.755, std reward: 3.1
sample: 11, mc_sample: 100, mean reward: 41.843, std reward: 4.183
sample: 12, mc_sample: 100, mean reward: 30.974, std reward: 4.044
sample: 13, mc_sample: 100, mean reward: 21.818, std reward: 3.6
sample: 14, mc_sample: 100, mean reward: 27.254, std reward: 3.339
sample: 15, mc_sample: 100, mean reward: 36.329, std reward: 3.966
sample: 16, mc_sample: 100, mean reward: 27.434, std reward: 3.27
sample: 17, mc_sample: 100, mean reward: 24.113, std reward: 3.337
sample: 18, mc_sample: 100, mean reward: 20.999, std reward: 2.891
sample: 19, mc_sample: 100, mean reward: 36.874, std reward: 4.07
sample: 20, mc_sample: 100, mean reward: 23.771, std reward: 3.243
sample: 21, mc_sample: 100, mean reward: 28.172, std reward: 3.297
sample: 22, mc_sample: 100, mean reward: 26.751, std reward: 3.309
sample: 23, mc_sample: 100, mean reward: 39.894, std reward: 4.387
sample: 24, mc_sample: 100, mean reward: 33.494, std reward: 4.587
sample: 25, mc_sample: 100, mean reward: 36.349, std reward: 3.696
sample: 26, mc_sample: 100, mean reward: 34.976, std reward: 4.255
sample: 27, mc_sample: 100, mean reward: 36.771, std reward: 3.972
sample: 28, mc_sample: 100, mean reward: 34.222, std reward: 4.075
sample: 29, mc_sample: 100, mean reward: 36.133, std reward: 3.588
sample: 30, mc_sample: 100, mean reward: 34.699, std reward: 4.433
sample: 31, mc_sample: 100, mean reward: 31.893, std reward: 4.475
sample: 32, mc_sample: 100, mean reward: 24.567, std reward: 3.128
sample: 33, mc_sample: 100, mean reward: 34.473, std reward: 4.215
sample: 34, mc_sample: 100, mean reward: 26.251, std reward: 3.932
sample: 35, mc_sample: 100, mean reward: 35.156, std reward: 4.243
sample: 36, mc_sample: 100, mean reward: 21.263, std reward: 3.127
sample: 37, mc_sample: 100, mean reward: 26.015, std reward: 3.607
sample: 38, mc_sample: 100, mean reward: 36.749, std reward: 3.861
sample: 39, mc_sample: 100, mean reward: 38.243, std reward: 5.484
sample: 40, mc_sample: 100, mean reward: 42.15, std reward: 4.698
sample: 41, mc_sample: 100, mean reward: 38.03, std reward: 4.471
sample: 42, mc_sample: 100, mean reward: 25.617, std reward: 3.651
sample: 43, mc_sample: 100, mean reward: 25.423, std reward: 3.655
sample: 44, mc_sample: 100, mean reward: 32.272, std reward: 3.471
sample: 45, mc_sample: 100, mean reward: 29.316, std reward: 4.058
sample: 46, mc_sample: 100, mean reward: 31.999, std reward: 3.926
sample: 47, mc_sample: 100, mean reward: 25.848, std reward: 3.673
sample: 48, mc_sample: 100, mean reward: 25.59, std reward: 3.329
sample: 49, mc_sample: 100, mean reward: 26.555, std reward: 3.13
sample: 50, mc_sample: 100, mean reward: 28.755, std reward: 4.341
sample: 51, mc_sample: 100, mean reward: 23.493, std reward: 3.362
sample: 52, mc_sample: 100, mean reward: 36.178, std reward: 4.87
sample: 53, mc_sample: 100, mean reward: 32.974, std reward: 4.309
sample: 54, mc_sample: 100, mean reward: 35.734, std reward: 4.819
sample: 55, mc_sample: 100, mean reward: 30.301, std reward: 4.705
sample: 56, mc_sample: 100, mean reward: 23.697, std reward: 3.459
sample: 57, mc_sample: 100, mean reward: 32.49, std reward: 4.127
sample: 58, mc_sample: 100, mean reward: 33.248, std reward: 4.479
sample: 59, mc_sample: 100, mean reward: 35.736, std reward: 4.615
sample: 60, mc_sample: 100, mean reward: 34.309, std reward: 4.676
sample: 61, mc_sample: 100, mean reward: 36.427, std reward: 3.937
sample: 62, mc_sample: 100, mean reward: 31.686, std reward: 3.696
sample: 63, mc_sample: 100, mean reward: 35.786, std reward: 4.641
sample: 64, mc_sample: 100, mean reward: 29.86, std reward: 4.223
sample: 65, mc_sample: 100, mean reward: 30.949, std reward: 4.193
sample: 66, mc_sample: 100, mean reward: 31.943, std reward: 3.159
sample: 67, mc_sample: 100, mean reward: 32.087, std reward: 3.866
sample: 68, mc_sample: 100, mean reward: 29.134, std reward: 4.474
sample: 69, mc_sample: 100, mean reward: 28.227, std reward: 3.426
sample: 70, mc_sample: 100, mean reward: 29.557, std reward: 4.783
sample: 71, mc_sample: 100, mean reward: 27.303, std reward: 4.086
sample: 72, mc_sample: 100, mean reward: 38.521, std reward: 4.737
sample: 73, mc_sample: 100, mean reward: 29.851, std reward: 3.984
sample: 74, mc_sample: 100, mean reward: 35.823, std reward: 4.4
sample: 75, mc_sample: 100, mean reward: 29.861, std reward: 4.283
sample: 76, mc_sample: 100, mean reward: 37.225, std reward: 4.646
sample: 77, mc_sample: 100, mean reward: 25.766, std reward: 3.876
sample: 78, mc_sample: 100, mean reward: 35.901, std reward: 4.189
sample: 79, mc_sample: 100, mean reward: 29.411, std reward: 4.061
sample: 80, mc_sample: 100, mean reward: 38.344, std reward: 4.69
sample: 81, mc_sample: 100, mean reward: 31.358, std reward: 4.143
sample: 82, mc_sample: 100, mean reward: 26.396, std reward: 3.361
sample: 83, mc_sample: 100, mean reward: 33.589, std reward: 4.384
sample: 84, mc_sample: 100, mean reward: 29.053, std reward: 3.274
sample: 85, mc_sample: 100, mean reward: 41.258, std reward: 4.53
sample: 86, mc_sample: 100, mean reward: 31.132, std reward: 3.666
sample: 87, mc_sample: 100, mean reward: 42.116, std reward: 4.438
sample: 88, mc_sample: 100, mean reward: 39.407, std reward: 4.604
sample: 89, mc_sample: 100, mean reward: 37.132, std reward: 4.354
sample: 90, mc_sample: 100, mean reward: 39.349, std reward: 4.062
sample: 91, mc_sample: 100, mean reward: 17.037, std reward: 3.097
sample: 92, mc_sample: 100, mean reward: 25.544, std reward: 3.346
sample: 93, mc_sample: 100, mean reward: 33.812, std reward: 4.577
sample: 94, mc_sample: 100, mean reward: 28.437, std reward: 3.696
sample: 95, mc_sample: 100, mean reward: 30.34, std reward: 3.938
sample: 96, mc_sample: 100, mean reward: 38.006, std reward: 4.377
sample: 97, mc_sample: 100, mean reward: 30.84, std reward: 4.178
sample: 98, mc_sample: 100, mean reward: 36.715, std reward: 4.549
sample: 99, mc_sample: 100, mean reward: 36.49, std reward: 3.78
sample: 100, mc_sample: 100, mean reward: 27.911, std reward: 4.445
sample: 101, mc_sample: 100, mean reward: 30.001, std reward: 3.609
sample: 102, mc_sample: 100, mean reward: 37.75, std reward: 4.158
sample: 103, mc_sample: 100, mean reward: 31.008, std reward: 4.272
sample: 104, mc_sample: 100, mean reward: 29.088, std reward: 3.172
sample: 105, mc_sample: 100, mean reward: 29.865, std reward: 3.935
sample: 106, mc_sample: 100, mean reward: 28.549, std reward: 4.131
sample: 107, mc_sample: 100, mean reward: 40.334, std reward: 4.278
