sample: 0, mc_sample: 15, mean reward: 21.406, std reward: 2.919
sample: 1, mc_sample: 15, mean reward: 30.31, std reward: 4.143
sample: 2, mc_sample: 15, mean reward: 33.507, std reward: 5.68
sample: 3, mc_sample: 15, mean reward: 19.865, std reward: 4.411
sample: 4, mc_sample: 15, mean reward: 28.793, std reward: 4.009
sample: 5, mc_sample: 15, mean reward: 43.588, std reward: 4.56
sample: 6, mc_sample: 15, mean reward: 31.445, std reward: 4.649
sample: 7, mc_sample: 15, mean reward: 31.741, std reward: 4.236
sample: 8, mc_sample: 15, mean reward: 24.438, std reward: 3.55
sample: 9, mc_sample: 15, mean reward: 18.209, std reward: 3.187
sample: 10, mc_sample: 15, mean reward: 32.195, std reward: 3.563
sample: 11, mc_sample: 15, mean reward: 34.911, std reward: 3.682
sample: 12, mc_sample: 15, mean reward: 32.878, std reward: 4.247
sample: 13, mc_sample: 15, mean reward: 15.354, std reward: 2.497
sample: 14, mc_sample: 15, mean reward: 30.443, std reward: 3.792
sample: 15, mc_sample: 15, mean reward: 37.646, std reward: 3.959
sample: 16, mc_sample: 15, mean reward: 27.8, std reward: 2.386
sample: 17, mc_sample: 15, mean reward: 28.985, std reward: 2.418
sample: 18, mc_sample: 15, mean reward: 33.541, std reward: 3.667
sample: 19, mc_sample: 15, mean reward: 14.976, std reward: 2.91
sample: 20, mc_sample: 15, mean reward: 33.253, std reward: 3.939
sample: 21, mc_sample: 15, mean reward: 30.084, std reward: 3.608
sample: 22, mc_sample: 15, mean reward: 32.321, std reward: 4.13
sample: 23, mc_sample: 15, mean reward: 22.373, std reward: 3.551
sample: 24, mc_sample: 15, mean reward: 24.17, std reward: 3.566
sample: 25, mc_sample: 15, mean reward: 37.511, std reward: 3.474
sample: 26, mc_sample: 15, mean reward: 28.547, std reward: 4.743
sample: 27, mc_sample: 15, mean reward: 33.483, std reward: 4.816
sample: 28, mc_sample: 15, mean reward: 26.564, std reward: 3.33
sample: 29, mc_sample: 15, mean reward: 34.914, std reward: 5.039
sample: 30, mc_sample: 15, mean reward: 34.817, std reward: 4.659
sample: 31, mc_sample: 15, mean reward: 32.653, std reward: 3.791
sample: 32, mc_sample: 15, mean reward: 22.986, std reward: 3.333
sample: 33, mc_sample: 15, mean reward: 29.234, std reward: 3.948
sample: 34, mc_sample: 15, mean reward: 19.112, std reward: 3.189
sample: 35, mc_sample: 15, mean reward: 27.17, std reward: 3.487
sample: 36, mc_sample: 15, mean reward: 29.394, std reward: 4.84
sample: 37, mc_sample: 15, mean reward: 21.902, std reward: 2.779
sample: 38, mc_sample: 15, mean reward: 33.822, std reward: 3.506
sample: 39, mc_sample: 15, mean reward: 27.705, std reward: 3.283
sample: 40, mc_sample: 15, mean reward: 36.439, std reward: 6.113
sample: 41, mc_sample: 15, mean reward: 23.543, std reward: 3.106
sample: 42, mc_sample: 15, mean reward: 35.035, std reward: 2.982
sample: 43, mc_sample: 15, mean reward: 22.34, std reward: 3.672
sample: 44, mc_sample: 15, mean reward: 33.379, std reward: 5.282
sample: 45, mc_sample: 15, mean reward: 29.616, std reward: 2.911
