sample: 0, mc_sample: 10, mean reward: 32.518, std reward: 3.707
sample: 1, mc_sample: 10, mean reward: 29.642, std reward: 3.795
sample: 2, mc_sample: 10, mean reward: 22.093, std reward: 3.236
sample: 3, mc_sample: 10, mean reward: 23.601, std reward: 2.591
sample: 4, mc_sample: 10, mean reward: 32.647, std reward: 5.483
sample: 5, mc_sample: 10, mean reward: 25.219, std reward: 2.671
sample: 6, mc_sample: 10, mean reward: 41.704, std reward: 3.213
sample: 7, mc_sample: 10, mean reward: 40.688, std reward: 5.941
sample: 8, mc_sample: 10, mean reward: 29.603, std reward: 5.291
sample: 9, mc_sample: 10, mean reward: 33.214, std reward: 4.567
sample: 10, mc_sample: 10, mean reward: 23.487, std reward: 3.452
sample: 11, mc_sample: 10, mean reward: 43.823, std reward: 2.385
sample: 12, mc_sample: 10, mean reward: 31.321, std reward: 4.963
sample: 13, mc_sample: 10, mean reward: 38.229, std reward: 3.925
sample: 14, mc_sample: 10, mean reward: 33.843, std reward: 5.201
sample: 15, mc_sample: 10, mean reward: 28.062, std reward: 3.296
sample: 16, mc_sample: 10, mean reward: 21.376, std reward: 2.214
sample: 17, mc_sample: 10, mean reward: 36.615, std reward: 4.926
sample: 18, mc_sample: 10, mean reward: 32.019, std reward: 2.717
sample: 19, mc_sample: 10, mean reward: 29.903, std reward: 4.589
sample: 20, mc_sample: 10, mean reward: 28.507, std reward: 3.009
sample: 21, mc_sample: 10, mean reward: 41.116, std reward: 4.008
sample: 22, mc_sample: 10, mean reward: 35.824, std reward: 3.429
sample: 23, mc_sample: 10, mean reward: 25.942, std reward: 4.297
sample: 24, mc_sample: 10, mean reward: 23.939, std reward: 1.897
sample: 25, mc_sample: 10, mean reward: 29.403, std reward: 2.906
sample: 26, mc_sample: 10, mean reward: 33.614, std reward: 4.421
sample: 27, mc_sample: 10, mean reward: 24.136, std reward: 3.464
sample: 28, mc_sample: 10, mean reward: 34.21, std reward: 3.516
sample: 29, mc_sample: 10, mean reward: 43.721, std reward: 6.324
sample: 30, mc_sample: 10, mean reward: 25.723, std reward: 1.888
sample: 31, mc_sample: 10, mean reward: 41.447, std reward: 4.261
sample: 32, mc_sample: 10, mean reward: 29.886, std reward: 2.638
sample: 33, mc_sample: 10, mean reward: 39.473, std reward: 3.365
sample: 34, mc_sample: 10, mean reward: 18.457, std reward: 2.573
sample: 35, mc_sample: 10, mean reward: 43.717, std reward: 4.911
sample: 36, mc_sample: 10, mean reward: 37.501, std reward: 2.987
sample: 37, mc_sample: 10, mean reward: 28.092, std reward: 1.775
sample: 38, mc_sample: 10, mean reward: 31.822, std reward: 4.137
sample: 39, mc_sample: 10, mean reward: 26.508, std reward: 2.964
sample: 40, mc_sample: 10, mean reward: 26.319, std reward: 2.923
sample: 41, mc_sample: 10, mean reward: 42.277, std reward: 3.923
sample: 42, mc_sample: 10, mean reward: 37.046, std reward: 4.986
sample: 43, mc_sample: 10, mean reward: 32.691, std reward: 2.493
sample: 44, mc_sample: 10, mean reward: 18.4, std reward: 2.115
sample: 45, mc_sample: 10, mean reward: 19.099, std reward: 2.578
sample: 46, mc_sample: 10, mean reward: 23.673, std reward: 2.068
sample: 47, mc_sample: 10, mean reward: 40.288, std reward: 3.844
sample: 48, mc_sample: 10, mean reward: 25.383, std reward: 3.408
sample: 49, mc_sample: 10, mean reward: 26.798, std reward: 3.766
sample: 50, mc_sample: 10, mean reward: 28.028, std reward: 3.573
sample: 51, mc_sample: 10, mean reward: 39.749, std reward: 4.145
sample: 52, mc_sample: 10, mean reward: 30.184, std reward: 4.675
sample: 53, mc_sample: 10, mean reward: 33.409, std reward: 4.9
sample: 54, mc_sample: 10, mean reward: 32.445, std reward: 5.27
sample: 55, mc_sample: 10, mean reward: 37.927, std reward: 4.313
sample: 56, mc_sample: 10, mean reward: 36.548, std reward: 3.991
sample: 57, mc_sample: 10, mean reward: 30.042, std reward: 3.135
sample: 58, mc_sample: 10, mean reward: 23.606, std reward: 3.147
sample: 59, mc_sample: 10, mean reward: 23.819, std reward: 1.725
sample: 60, mc_sample: 10, mean reward: 20.399, std reward: 2.258
sample: 61, mc_sample: 10, mean reward: 31.392, std reward: 3.469
sample: 62, mc_sample: 10, mean reward: 34.708, std reward: 3.335
sample: 63, mc_sample: 10, mean reward: 27.292, std reward: 2.503
sample: 64, mc_sample: 10, mean reward: 23.491, std reward: 2.9
sample: 65, mc_sample: 10, mean reward: 24.596, std reward: 2.667
sample: 66, mc_sample: 10, mean reward: 29.408, std reward: 2.929
