sample: 0, mc_sample: 15, mean reward: 35.166, std reward: 5.034
sample: 1, mc_sample: 15, mean reward: 31.59, std reward: 2.911
sample: 2, mc_sample: 15, mean reward: 32.706, std reward: 4.008
sample: 3, mc_sample: 15, mean reward: 28.219, std reward: 3.366
sample: 4, mc_sample: 15, mean reward: 34.763, std reward: 5.199
sample: 5, mc_sample: 15, mean reward: 23.386, std reward: 2.48
sample: 6, mc_sample: 15, mean reward: 22.125, std reward: 5.296
sample: 7, mc_sample: 15, mean reward: 31.817, std reward: 4.096
sample: 8, mc_sample: 15, mean reward: 24.853, std reward: 5.06
sample: 9, mc_sample: 15, mean reward: 41.861, std reward: 4.64
sample: 10, mc_sample: 15, mean reward: 28.41, std reward: 3.129
sample: 11, mc_sample: 15, mean reward: 40.86, std reward: 4.097
sample: 12, mc_sample: 15, mean reward: 31.965, std reward: 4.085
sample: 13, mc_sample: 15, mean reward: 27.928, std reward: 3.471
sample: 14, mc_sample: 15, mean reward: 27.512, std reward: 2.684
sample: 15, mc_sample: 15, mean reward: 22.096, std reward: 2.691
sample: 16, mc_sample: 15, mean reward: 30.088, std reward: 3.393
sample: 17, mc_sample: 15, mean reward: 31.389, std reward: 2.918
sample: 18, mc_sample: 15, mean reward: 33.063, std reward: 3.906
sample: 19, mc_sample: 15, mean reward: 26.929, std reward: 2.597
sample: 20, mc_sample: 15, mean reward: 30.62, std reward: 3.674
sample: 21, mc_sample: 15, mean reward: 19.771, std reward: 3.018
sample: 22, mc_sample: 15, mean reward: 30.219, std reward: 5.152
sample: 23, mc_sample: 15, mean reward: 25.573, std reward: 3.419
sample: 24, mc_sample: 15, mean reward: 30.818, std reward: 3.247
sample: 25, mc_sample: 15, mean reward: 22.509, std reward: 2.812
sample: 26, mc_sample: 15, mean reward: 38.212, std reward: 4.411
sample: 27, mc_sample: 15, mean reward: 37.902, std reward: 3.672
sample: 28, mc_sample: 15, mean reward: 22.582, std reward: 4.78
sample: 29, mc_sample: 15, mean reward: 25.169, std reward: 3.97
