sample: 0, mc_sample: 5, mean reward: 24.49, std reward: 3.05
sample: 1, mc_sample: 5, mean reward: 34.241, std reward: 0.834
sample: 2, mc_sample: 5, mean reward: 37.575, std reward: 1.569
sample: 3, mc_sample: 5, mean reward: 39.15, std reward: 6.817
sample: 4, mc_sample: 5, mean reward: 33.882, std reward: 4.402
sample: 5, mc_sample: 5, mean reward: 17.759, std reward: 2.46
sample: 6, mc_sample: 5, mean reward: 28.347, std reward: 3.189
sample: 7, mc_sample: 5, mean reward: 40.116, std reward: 2.088
sample: 8, mc_sample: 5, mean reward: 21.595, std reward: 3.356
sample: 9, mc_sample: 5, mean reward: 25.587, std reward: 2.021
sample: 10, mc_sample: 5, mean reward: 34.958, std reward: 1.606
sample: 11, mc_sample: 5, mean reward: 22.166, std reward: 3.796
sample: 12, mc_sample: 5, mean reward: 35.115, std reward: 3.883
sample: 13, mc_sample: 5, mean reward: 31.013, std reward: 3.877
sample: 14, mc_sample: 5, mean reward: 22.643, std reward: 2.631
sample: 15, mc_sample: 5, mean reward: 20.329, std reward: 2.162
sample: 16, mc_sample: 5, mean reward: 30.574, std reward: 3.419
sample: 17, mc_sample: 5, mean reward: 32.677, std reward: 3.931
sample: 18, mc_sample: 5, mean reward: 29.583, std reward: 3.575
sample: 19, mc_sample: 5, mean reward: 43.486, std reward: 3.583
sample: 20, mc_sample: 5, mean reward: 33.646, std reward: 4.313
sample: 21, mc_sample: 5, mean reward: 30.66, std reward: 4.195
sample: 22, mc_sample: 5, mean reward: 30.315, std reward: 2.297
sample: 23, mc_sample: 5, mean reward: 25.109, std reward: 1.737
sample: 24, mc_sample: 5, mean reward: 33.521, std reward: 4.295
sample: 25, mc_sample: 5, mean reward: 30.593, std reward: 5.11
sample: 26, mc_sample: 5, mean reward: 33.047, std reward: 3.339
sample: 27, mc_sample: 5, mean reward: 28.025, std reward: 2.014
sample: 28, mc_sample: 5, mean reward: 29.133, std reward: 1.6
sample: 29, mc_sample: 5, mean reward: 29.869, std reward: 5.113
sample: 30, mc_sample: 5, mean reward: 24.909, std reward: 3.388
sample: 31, mc_sample: 5, mean reward: 37.276, std reward: 3.73
sample: 32, mc_sample: 5, mean reward: 30.912, std reward: 3.569
sample: 33, mc_sample: 5, mean reward: 36.746, std reward: 2.431
sample: 34, mc_sample: 5, mean reward: 34.667, std reward: 5.971
sample: 35, mc_sample: 5, mean reward: 30.261, std reward: 2.38
sample: 36, mc_sample: 5, mean reward: 25.961, std reward: 2.263
sample: 37, mc_sample: 5, mean reward: 35.542, std reward: 1.888
sample: 38, mc_sample: 5, mean reward: 33.892, std reward: 4.126
sample: 39, mc_sample: 5, mean reward: 44.425, std reward: 5.749
sample: 40, mc_sample: 5, mean reward: 34.957, std reward: 1.132
sample: 41, mc_sample: 5, mean reward: 31.315, std reward: 5.772
sample: 42, mc_sample: 5, mean reward: 26.141, std reward: 3.895
sample: 43, mc_sample: 5, mean reward: 27.706, std reward: 4.011
