sample: 0, mc_sample: 10, mean reward: 31.485, std reward: 4.032
sample: 1, mc_sample: 10, mean reward: 19.92, std reward: 2.828
sample: 2, mc_sample: 10, mean reward: 39.777, std reward: 4.073
sample: 3, mc_sample: 10, mean reward: 25.686, std reward: 2.619
sample: 4, mc_sample: 10, mean reward: 38.175, std reward: 5.01
sample: 5, mc_sample: 10, mean reward: 39.625, std reward: 4.028
sample: 6, mc_sample: 10, mean reward: 39.958, std reward: 4.581
sample: 7, mc_sample: 10, mean reward: 24.423, std reward: 2.666
sample: 8, mc_sample: 10, mean reward: 29.12, std reward: 3.66
sample: 9, mc_sample: 10, mean reward: 29.603, std reward: 3.497
sample: 10, mc_sample: 10, mean reward: 33.155, std reward: 2.841
sample: 11, mc_sample: 10, mean reward: 27.467, std reward: 3.122
sample: 12, mc_sample: 10, mean reward: 33.754, std reward: 4.812
sample: 13, mc_sample: 10, mean reward: 33.517, std reward: 3.744
sample: 14, mc_sample: 10, mean reward: 36.327, std reward: 2.334
sample: 15, mc_sample: 10, mean reward: 32.718, std reward: 3.689
sample: 16, mc_sample: 10, mean reward: 16.044, std reward: 1.654
sample: 17, mc_sample: 10, mean reward: 38.889, std reward: 5.841
sample: 18, mc_sample: 10, mean reward: 25.141, std reward: 3.25
sample: 19, mc_sample: 10, mean reward: 36.381, std reward: 4.826
sample: 20, mc_sample: 10, mean reward: 41.492, std reward: 4.228
sample: 21, mc_sample: 10, mean reward: 37.239, std reward: 4.243
sample: 22, mc_sample: 10, mean reward: 34.912, std reward: 3.642
sample: 23, mc_sample: 10, mean reward: 25.857, std reward: 3.619
sample: 24, mc_sample: 10, mean reward: 26.319, std reward: 1.535
sample: 25, mc_sample: 10, mean reward: 40.385, std reward: 2.994
sample: 26, mc_sample: 10, mean reward: 29.235, std reward: 4.008
sample: 27, mc_sample: 10, mean reward: 24.919, std reward: 3.237
sample: 28, mc_sample: 10, mean reward: 38.539, std reward: 4.163
sample: 29, mc_sample: 10, mean reward: 25.461, std reward: 4.021
sample: 30, mc_sample: 10, mean reward: 38.811, std reward: 3.983
sample: 31, mc_sample: 10, mean reward: 25.057, std reward: 2.388
sample: 32, mc_sample: 10, mean reward: 27.629, std reward: 2.785
sample: 33, mc_sample: 10, mean reward: 21.196, std reward: 4.403
sample: 34, mc_sample: 10, mean reward: 30.308, std reward: 2.79
sample: 35, mc_sample: 10, mean reward: 33.425, std reward: 4.22
sample: 36, mc_sample: 10, mean reward: 36.929, std reward: 6.37
sample: 37, mc_sample: 10, mean reward: 28.867, std reward: 3.987
sample: 38, mc_sample: 10, mean reward: 30.335, std reward: 5.866
sample: 39, mc_sample: 10, mean reward: 22.937, std reward: 3.561
sample: 40, mc_sample: 10, mean reward: 37.22, std reward: 3.893
sample: 41, mc_sample: 10, mean reward: 44.122, std reward: 5.532
sample: 42, mc_sample: 10, mean reward: 21.281, std reward: 2.347
sample: 43, mc_sample: 10, mean reward: 34.895, std reward: 4.588
sample: 44, mc_sample: 10, mean reward: 38.509, std reward: 4.741
sample: 45, mc_sample: 10, mean reward: 26.626, std reward: 3.798
sample: 46, mc_sample: 10, mean reward: 29.845, std reward: 2.611
sample: 47, mc_sample: 10, mean reward: 19.645, std reward: 2.212
sample: 48, mc_sample: 10, mean reward: 18.423, std reward: 1.738
sample: 49, mc_sample: 10, mean reward: 36.809, std reward: 2.725
sample: 50, mc_sample: 10, mean reward: 36.554, std reward: 4.092
sample: 51, mc_sample: 10, mean reward: 29.698, std reward: 4.971
sample: 52, mc_sample: 10, mean reward: 34.07, std reward: 3.435
sample: 53, mc_sample: 10, mean reward: 23.927, std reward: 4.832
sample: 54, mc_sample: 10, mean reward: 36.42, std reward: 3.576
sample: 55, mc_sample: 10, mean reward: 41.775, std reward: 4.613
sample: 56, mc_sample: 10, mean reward: 24.682, std reward: 2.983
sample: 57, mc_sample: 10, mean reward: 44.008, std reward: 2.757
sample: 58, mc_sample: 10, mean reward: 39.278, std reward: 2.931
sample: 59, mc_sample: 10, mean reward: 28.351, std reward: 4.511
sample: 60, mc_sample: 10, mean reward: 34.547, std reward: 3.592
sample: 61, mc_sample: 10, mean reward: 40.304, std reward: 4.395
sample: 62, mc_sample: 10, mean reward: 36.288, std reward: 3.747
sample: 63, mc_sample: 10, mean reward: 33.531, std reward: 2.405
sample: 64, mc_sample: 10, mean reward: 25.932, std reward: 2.845
sample: 65, mc_sample: 10, mean reward: 30.129, std reward: 4.288
sample: 66, mc_sample: 10, mean reward: 25.56, std reward: 5.505
sample: 67, mc_sample: 10, mean reward: 33.146, std reward: 4.193
sample: 68, mc_sample: 10, mean reward: 41.017, std reward: 6.207
sample: 69, mc_sample: 10, mean reward: 41.354, std reward: 5.622
sample: 70, mc_sample: 10, mean reward: 26.853, std reward: 3.537
sample: 71, mc_sample: 10, mean reward: 27.829, std reward: 5.304
sample: 72, mc_sample: 10, mean reward: 37.316, std reward: 4.492
sample: 73, mc_sample: 10, mean reward: 37.099, std reward: 3.259
sample: 74, mc_sample: 10, mean reward: 18.304, std reward: 2.949
sample: 75, mc_sample: 10, mean reward: 34.23, std reward: 6.338
sample: 76, mc_sample: 10, mean reward: 20.302, std reward: 3.152
sample: 77, mc_sample: 10, mean reward: 36.756, std reward: 5.031
sample: 78, mc_sample: 10, mean reward: 30.8, std reward: 3.395
sample: 79, mc_sample: 10, mean reward: 31.591, std reward: 4.995
sample: 80, mc_sample: 10, mean reward: 30.071, std reward: 4.254
sample: 81, mc_sample: 10, mean reward: 28.848, std reward: 3.466
sample: 82, mc_sample: 10, mean reward: 35.657, std reward: 3.429
sample: 83, mc_sample: 10, mean reward: 27.77, std reward: 4.037
sample: 84, mc_sample: 10, mean reward: 29.347, std reward: 4.086
sample: 85, mc_sample: 10, mean reward: 38.372, std reward: 6.052
sample: 86, mc_sample: 10, mean reward: 36.237, std reward: 3.441
sample: 87, mc_sample: 10, mean reward: 32.22, std reward: 4.644
sample: 88, mc_sample: 10, mean reward: 31.489, std reward: 3.171
sample: 89, mc_sample: 10, mean reward: 24.762, std reward: 4.493
sample: 90, mc_sample: 10, mean reward: 34.151, std reward: 4.094
sample: 91, mc_sample: 10, mean reward: 30.55, std reward: 2.576
sample: 92, mc_sample: 10, mean reward: 38.132, std reward: 3.72
sample: 93, mc_sample: 10, mean reward: 38.644, std reward: 5.631
sample: 94, mc_sample: 10, mean reward: 31.481, std reward: 3.129
sample: 95, mc_sample: 10, mean reward: 33.228, std reward: 3.857
sample: 96, mc_sample: 10, mean reward: 32.535, std reward: 3.673
sample: 97, mc_sample: 10, mean reward: 38.86, std reward: 4.458
sample: 98, mc_sample: 10, mean reward: 24.403, std reward: 2.597
sample: 99, mc_sample: 10, mean reward: 26.669, std reward: 4.134
sample: 100, mc_sample: 10, mean reward: 40.154, std reward: 5.251
sample: 101, mc_sample: 10, mean reward: 43.932, std reward: 2.858
sample: 102, mc_sample: 10, mean reward: 33.749, std reward: 1.899
sample: 103, mc_sample: 10, mean reward: 32.137, std reward: 2.917
sample: 104, mc_sample: 10, mean reward: 25.842, std reward: 3.849
sample: 105, mc_sample: 10, mean reward: 33.888, std reward: 3.136
sample: 106, mc_sample: 10, mean reward: 42.461, std reward: 4.567
sample: 107, mc_sample: 10, mean reward: 30.913, std reward: 3.694
sample: 108, mc_sample: 10, mean reward: 26.038, std reward: 4.193
sample: 109, mc_sample: 10, mean reward: 42.021, std reward: 4.554
sample: 110, mc_sample: 10, mean reward: 34.599, std reward: 4.186
sample: 111, mc_sample: 10, mean reward: 38.337, std reward: 4.752
sample: 112, mc_sample: 10, mean reward: 34.295, std reward: 2.744
sample: 113, mc_sample: 10, mean reward: 39.65, std reward: 5.697
sample: 114, mc_sample: 10, mean reward: 28.49, std reward: 3.711
sample: 115, mc_sample: 10, mean reward: 38.414, std reward: 4.599
sample: 116, mc_sample: 10, mean reward: 26.654, std reward: 4.06
sample: 117, mc_sample: 10, mean reward: 32.56, std reward: 4.943
sample: 118, mc_sample: 10, mean reward: 40.132, std reward: 3.837
sample: 119, mc_sample: 10, mean reward: 24.461, std reward: 4.512
sample: 120, mc_sample: 10, mean reward: 37.893, std reward: 3.124
sample: 121, mc_sample: 10, mean reward: 37.091, std reward: 5.219
sample: 122, mc_sample: 10, mean reward: 42.224, std reward: 2.844
sample: 123, mc_sample: 10, mean reward: 25.718, std reward: 4.319
sample: 124, mc_sample: 10, mean reward: 25.251, std reward: 3.208
sample: 125, mc_sample: 10, mean reward: 32.992, std reward: 4.76
sample: 126, mc_sample: 10, mean reward: 27.19, std reward: 2.602
sample: 127, mc_sample: 10, mean reward: 38.719, std reward: 3.592
sample: 128, mc_sample: 10, mean reward: 30.289, std reward: 3.597
sample: 129, mc_sample: 10, mean reward: 30.846, std reward: 2.483
sample: 130, mc_sample: 10, mean reward: 25.059, std reward: 3.834
sample: 131, mc_sample: 10, mean reward: 31.927, std reward: 4.625
sample: 132, mc_sample: 10, mean reward: 37.446, std reward: 4.072
sample: 133, mc_sample: 10, mean reward: 26.734, std reward: 5.55
sample: 134, mc_sample: 10, mean reward: 35.41, std reward: 4.693
sample: 135, mc_sample: 10, mean reward: 33.33, std reward: 4.442
sample: 136, mc_sample: 10, mean reward: 31.093, std reward: 2.123
sample: 137, mc_sample: 10, mean reward: 37.99, std reward: 8.541
sample: 138, mc_sample: 10, mean reward: 26.262, std reward: 4.853
sample: 139, mc_sample: 10, mean reward: 38.149, std reward: 4.443
sample: 140, mc_sample: 10, mean reward: 32.743, std reward: 5.058
sample: 141, mc_sample: 10, mean reward: 32.536, std reward: 3.816
sample: 142, mc_sample: 10, mean reward: 35.665, std reward: 4.517
sample: 143, mc_sample: 10, mean reward: 26.923, std reward: 5.336
sample: 144, mc_sample: 10, mean reward: 26.417, std reward: 3.574
sample: 145, mc_sample: 10, mean reward: 35.933, std reward: 3.215
sample: 146, mc_sample: 10, mean reward: 28.708, std reward: 3.212
sample: 147, mc_sample: 10, mean reward: 40.98, std reward: 5.828
sample: 148, mc_sample: 10, mean reward: 24.303, std reward: 4.823
sample: 149, mc_sample: 10, mean reward: 42.49, std reward: 6.559
sample: 150, mc_sample: 10, mean reward: 41.974, std reward: 3.409
sample: 151, mc_sample: 10, mean reward: 35.543, std reward: 4.949
sample: 152, mc_sample: 10, mean reward: 36.385, std reward: 3.604
sample: 153, mc_sample: 10, mean reward: 34.15, std reward: 3.441
sample: 154, mc_sample: 10, mean reward: 25.388, std reward: 5.089
sample: 155, mc_sample: 10, mean reward: 27.073, std reward: 3.55
sample: 156, mc_sample: 10, mean reward: 37.108, std reward: 3.772
sample: 157, mc_sample: 10, mean reward: 27.527, std reward: 3.275
sample: 158, mc_sample: 10, mean reward: 40.168, std reward: 4.985
sample: 159, mc_sample: 10, mean reward: 40.078, std reward: 5.493
sample: 160, mc_sample: 10, mean reward: 37.63, std reward: 4.323
sample: 161, mc_sample: 10, mean reward: 38.468, std reward: 7.559
sample: 162, mc_sample: 10, mean reward: 28.083, std reward: 1.986
sample: 163, mc_sample: 10, mean reward: 42.946, std reward: 4.003
sample: 164, mc_sample: 10, mean reward: 37.177, std reward: 3.73
sample: 165, mc_sample: 10, mean reward: 36.799, std reward: 3.168
sample: 166, mc_sample: 10, mean reward: 27.716, std reward: 3.214
sample: 167, mc_sample: 10, mean reward: 32.699, std reward: 2.962
sample: 168, mc_sample: 10, mean reward: 41.675, std reward: 3.421
sample: 169, mc_sample: 10, mean reward: 25.417, std reward: 3.1
sample: 170, mc_sample: 10, mean reward: 28.876, std reward: 4.896
sample: 171, mc_sample: 10, mean reward: 31.485, std reward: 4.374
sample: 172, mc_sample: 10, mean reward: 38.473, std reward: 3.653
sample: 173, mc_sample: 10, mean reward: 38.956, std reward: 3.615
sample: 174, mc_sample: 10, mean reward: 33.666, std reward: 4.707
sample: 175, mc_sample: 10, mean reward: 30.735, std reward: 3.452
sample: 176, mc_sample: 10, mean reward: 33.75, std reward: 3.769
sample: 177, mc_sample: 10, mean reward: 43.936, std reward: 4.314
sample: 178, mc_sample: 10, mean reward: 40.285, std reward: 3.344
sample: 179, mc_sample: 10, mean reward: 35.632, std reward: 2.775
sample: 180, mc_sample: 10, mean reward: 25.87, std reward: 3.746
sample: 181, mc_sample: 10, mean reward: 34.667, std reward: 2.329
sample: 182, mc_sample: 10, mean reward: 30.031, std reward: 5.637
sample: 183, mc_sample: 10, mean reward: 35.271, std reward: 3.605
sample: 184, mc_sample: 10, mean reward: 38.101, std reward: 5.959
sample: 185, mc_sample: 10, mean reward: 34.93, std reward: 4.062
sample: 186, mc_sample: 10, mean reward: 40.643, std reward: 5.175
sample: 187, mc_sample: 10, mean reward: 27.33, std reward: 2.182
sample: 188, mc_sample: 10, mean reward: 37.79, std reward: 3.199
sample: 189, mc_sample: 10, mean reward: 37.376, std reward: 5.512
sample: 190, mc_sample: 10, mean reward: 37.583, std reward: 5.032
sample: 191, mc_sample: 10, mean reward: 30.739, std reward: 3.4
sample: 192, mc_sample: 10, mean reward: 29.95, std reward: 4.112
sample: 193, mc_sample: 10, mean reward: 29.988, std reward: 3.987
sample: 194, mc_sample: 10, mean reward: 30.729, std reward: 2.702
sample: 195, mc_sample: 10, mean reward: 31.25, std reward: 3.348
sample: 196, mc_sample: 10, mean reward: 32.977, std reward: 4.0
sample: 197, mc_sample: 10, mean reward: 45.288, std reward: 4.05
sample: 198, mc_sample: 10, mean reward: 23.157, std reward: 3.433
sample: 199, mc_sample: 10, mean reward: 42.987, std reward: 5.462
sample: 200, mc_sample: 10, mean reward: 45.296, std reward: 3.894
sample: 201, mc_sample: 10, mean reward: 40.436, std reward: 3.69
sample: 202, mc_sample: 10, mean reward: 36.446, std reward: 4.432
sample: 203, mc_sample: 10, mean reward: 27.038, std reward: 3.344
sample: 204, mc_sample: 10, mean reward: 26.701, std reward: 3.636
sample: 205, mc_sample: 10, mean reward: 31.101, std reward: 3.514
sample: 206, mc_sample: 10, mean reward: 29.599, std reward: 3.56
sample: 207, mc_sample: 10, mean reward: 40.358, std reward: 4.879
sample: 208, mc_sample: 10, mean reward: 22.267, std reward: 4.807
sample: 209, mc_sample: 10, mean reward: 42.129, std reward: 4.398
sample: 210, mc_sample: 10, mean reward: 42.19, std reward: 3.967
sample: 211, mc_sample: 10, mean reward: 36.541, std reward: 4.066
sample: 212, mc_sample: 10, mean reward: 30.037, std reward: 2.735
sample: 213, mc_sample: 10, mean reward: 43.393, std reward: 4.282
sample: 214, mc_sample: 10, mean reward: 21.373, std reward: 2.97
sample: 215, mc_sample: 10, mean reward: 30.923, std reward: 3.198
sample: 216, mc_sample: 10, mean reward: 45.684, std reward: 4.629
sample: 217, mc_sample: 10, mean reward: 38.954, std reward: 2.772
sample: 218, mc_sample: 10, mean reward: 38.468, std reward: 4.302
sample: 219, mc_sample: 10, mean reward: 31.478, std reward: 4.581
sample: 220, mc_sample: 10, mean reward: 46.233, std reward: 3.897
sample: 221, mc_sample: 10, mean reward: 35.08, std reward: 3.444
sample: 222, mc_sample: 10, mean reward: 33.652, std reward: 4.934
sample: 223, mc_sample: 10, mean reward: 28.108, std reward: 2.51
sample: 224, mc_sample: 10, mean reward: 38.377, std reward: 3.291
sample: 225, mc_sample: 10, mean reward: 42.098, std reward: 6.972
sample: 226, mc_sample: 10, mean reward: 40.9, std reward: 4.669
sample: 227, mc_sample: 10, mean reward: 40.124, std reward: 2.257
sample: 228, mc_sample: 10, mean reward: 34.083, std reward: 2.221
sample: 229, mc_sample: 10, mean reward: 46.064, std reward: 6.599
sample: 230, mc_sample: 10, mean reward: 39.254, std reward: 4.01
sample: 231, mc_sample: 10, mean reward: 35.751, std reward: 5.495
sample: 232, mc_sample: 10, mean reward: 34.385, std reward: 4.534
sample: 233, mc_sample: 10, mean reward: 29.962, std reward: 3.609
sample: 234, mc_sample: 10, mean reward: 35.032, std reward: 4.398
sample: 235, mc_sample: 10, mean reward: 32.454, std reward: 4.367
sample: 236, mc_sample: 10, mean reward: 30.02, std reward: 3.363
sample: 237, mc_sample: 10, mean reward: 37.691, std reward: 4.04
sample: 238, mc_sample: 10, mean reward: 29.433, std reward: 3.515
sample: 239, mc_sample: 10, mean reward: 35.27, std reward: 4.694
sample: 240, mc_sample: 10, mean reward: 33.246, std reward: 3.101
sample: 241, mc_sample: 10, mean reward: 42.425, std reward: 4.626
sample: 242, mc_sample: 10, mean reward: 37.684, std reward: 5.422
sample: 243, mc_sample: 10, mean reward: 34.172, std reward: 4.233
sample: 244, mc_sample: 10, mean reward: 32.265, std reward: 4.727
sample: 245, mc_sample: 10, mean reward: 41.387, std reward: 3.152
sample: 246, mc_sample: 10, mean reward: 39.195, std reward: 4.864
sample: 247, mc_sample: 10, mean reward: 36.988, std reward: 4.364
sample: 248, mc_sample: 10, mean reward: 38.387, std reward: 4.668
sample: 249, mc_sample: 10, mean reward: 36.611, std reward: 3.584
sample: 250, mc_sample: 10, mean reward: 40.312, std reward: 6.189
sample: 251, mc_sample: 10, mean reward: 48.68, std reward: 3.712
sample: 252, mc_sample: 10, mean reward: 35.419, std reward: 2.175
sample: 253, mc_sample: 10, mean reward: 43.593, std reward: 5.37
sample: 254, mc_sample: 10, mean reward: 41.053, std reward: 2.962
sample: 255, mc_sample: 10, mean reward: 42.779, std reward: 4.274
sample: 256, mc_sample: 10, mean reward: 34.232, std reward: 3.357
sample: 257, mc_sample: 10, mean reward: 34.399, std reward: 4.811
sample: 258, mc_sample: 10, mean reward: 27.836, std reward: 3.351
sample: 259, mc_sample: 10, mean reward: 39.319, std reward: 4.453
sample: 260, mc_sample: 10, mean reward: 32.556, std reward: 3.225
sample: 261, mc_sample: 10, mean reward: 38.457, std reward: 4.493
sample: 262, mc_sample: 10, mean reward: 39.141, std reward: 3.949
sample: 263, mc_sample: 10, mean reward: 28.095, std reward: 3.806
sample: 264, mc_sample: 10, mean reward: 35.764, std reward: 4.666
sample: 265, mc_sample: 10, mean reward: 37.92, std reward: 2.499
sample: 266, mc_sample: 10, mean reward: 25.998, std reward: 4.255
sample: 267, mc_sample: 10, mean reward: 43.749, std reward: 3.003
sample: 268, mc_sample: 10, mean reward: 34.659, std reward: 4.904
sample: 269, mc_sample: 10, mean reward: 38.318, std reward: 5.051
sample: 270, mc_sample: 10, mean reward: 41.777, std reward: 4.111
sample: 271, mc_sample: 10, mean reward: 36.398, std reward: 3.334
sample: 272, mc_sample: 10, mean reward: 46.834, std reward: 3.407
sample: 273, mc_sample: 10, mean reward: 42.19, std reward: 4.755
sample: 274, mc_sample: 10, mean reward: 31.858, std reward: 2.658
sample: 275, mc_sample: 10, mean reward: 45.181, std reward: 6.075
sample: 276, mc_sample: 10, mean reward: 37.502, std reward: 4.931
sample: 277, mc_sample: 10, mean reward: 32.151, std reward: 5.083
sample: 278, mc_sample: 10, mean reward: 42.634, std reward: 4.612
sample: 279, mc_sample: 10, mean reward: 31.908, std reward: 5.528
sample: 280, mc_sample: 10, mean reward: 40.373, std reward: 6.133
sample: 281, mc_sample: 10, mean reward: 28.783, std reward: 3.843
sample: 282, mc_sample: 10, mean reward: 35.327, std reward: 5.205
sample: 283, mc_sample: 10, mean reward: 42.218, std reward: 3.026
sample: 284, mc_sample: 10, mean reward: 37.128, std reward: 4.542
sample: 285, mc_sample: 10, mean reward: 32.987, std reward: 4.245
sample: 286, mc_sample: 10, mean reward: 35.768, std reward: 4.428
sample: 287, mc_sample: 10, mean reward: 27.47, std reward: 3.764
sample: 288, mc_sample: 10, mean reward: 34.791, std reward: 3.781
sample: 289, mc_sample: 10, mean reward: 35.87, std reward: 4.008
sample: 290, mc_sample: 10, mean reward: 34.579, std reward: 4.35
sample: 291, mc_sample: 10, mean reward: 37.586, std reward: 4.146
sample: 292, mc_sample: 10, mean reward: 39.699, std reward: 4.073
sample: 293, mc_sample: 10, mean reward: 34.907, std reward: 4.024
sample: 294, mc_sample: 10, mean reward: 27.046, std reward: 3.172
sample: 295, mc_sample: 10, mean reward: 32.9, std reward: 3.612
sample: 296, mc_sample: 10, mean reward: 35.444, std reward: 3.8
sample: 297, mc_sample: 10, mean reward: 39.095, std reward: 3.116
sample: 298, mc_sample: 10, mean reward: 36.684, std reward: 4.325
sample: 299, mc_sample: 10, mean reward: 33.061, std reward: 4.372
sample: 300, mc_sample: 10, mean reward: 33.002, std reward: 3.332
sample: 301, mc_sample: 10, mean reward: 24.073, std reward: 3.637
sample: 302, mc_sample: 10, mean reward: 37.226, std reward: 6.092
sample: 303, mc_sample: 10, mean reward: 33.409, std reward: 3.164
sample: 304, mc_sample: 10, mean reward: 35.784, std reward: 3.312
sample: 305, mc_sample: 10, mean reward: 38.9, std reward: 4.238
sample: 306, mc_sample: 10, mean reward: 31.494, std reward: 4.328
sample: 307, mc_sample: 10, mean reward: 35.004, std reward: 3.994
sample: 308, mc_sample: 10, mean reward: 39.451, std reward: 4.3
sample: 309, mc_sample: 10, mean reward: 37.551, std reward: 5.26
sample: 310, mc_sample: 10, mean reward: 33.91, std reward: 4.959
sample: 311, mc_sample: 10, mean reward: 37.831, std reward: 2.443
sample: 312, mc_sample: 10, mean reward: 33.578, std reward: 3.959
sample: 313, mc_sample: 10, mean reward: 40.221, std reward: 4.429
sample: 314, mc_sample: 10, mean reward: 32.575, std reward: 3.041
sample: 315, mc_sample: 10, mean reward: 22.781, std reward: 3.986
sample: 316, mc_sample: 10, mean reward: 32.915, std reward: 5.014
sample: 317, mc_sample: 10, mean reward: 40.418, std reward: 3.011
sample: 318, mc_sample: 10, mean reward: 33.486, std reward: 4.143
sample: 319, mc_sample: 10, mean reward: 37.728, std reward: 4.357
sample: 320, mc_sample: 10, mean reward: 39.857, std reward: 4.419
sample: 321, mc_sample: 10, mean reward: 40.701, std reward: 2.712
sample: 322, mc_sample: 10, mean reward: 43.494, std reward: 3.516
sample: 323, mc_sample: 10, mean reward: 34.67, std reward: 4.364
sample: 324, mc_sample: 10, mean reward: 42.095, std reward: 4.268
sample: 325, mc_sample: 10, mean reward: 47.134, std reward: 5.086
sample: 326, mc_sample: 10, mean reward: 36.367, std reward: 4.418
sample: 327, mc_sample: 10, mean reward: 32.255, std reward: 4.16
sample: 328, mc_sample: 10, mean reward: 27.269, std reward: 2.742
sample: 329, mc_sample: 10, mean reward: 41.827, std reward: 3.543
sample: 330, mc_sample: 10, mean reward: 30.823, std reward: 5.001
sample: 331, mc_sample: 10, mean reward: 42.757, std reward: 3.871
sample: 332, mc_sample: 10, mean reward: 37.38, std reward: 5.034
sample: 333, mc_sample: 10, mean reward: 36.38, std reward: 4.004
sample: 334, mc_sample: 10, mean reward: 37.72, std reward: 5.085
