sample: 0, mc_sample: 10, mean reward: 24.998, std reward: 2.779
sample: 1, mc_sample: 10, mean reward: 29.403, std reward: 2.336
sample: 2, mc_sample: 10, mean reward: 39.0, std reward: 3.369
sample: 3, mc_sample: 10, mean reward: 28.221, std reward: 3.682
sample: 4, mc_sample: 10, mean reward: 26.266, std reward: 3.042
sample: 5, mc_sample: 10, mean reward: 37.729, std reward: 4.111
sample: 6, mc_sample: 10, mean reward: 29.572, std reward: 3.801
sample: 7, mc_sample: 10, mean reward: 24.457, std reward: 4.344
sample: 8, mc_sample: 10, mean reward: 32.622, std reward: 2.897
sample: 9, mc_sample: 10, mean reward: 31.604, std reward: 4.118
sample: 10, mc_sample: 10, mean reward: 35.621, std reward: 3.252
sample: 11, mc_sample: 10, mean reward: 31.115, std reward: 4.691
sample: 12, mc_sample: 10, mean reward: 28.836, std reward: 4.56
sample: 13, mc_sample: 10, mean reward: 25.895, std reward: 2.449
sample: 14, mc_sample: 10, mean reward: 30.609, std reward: 2.672
sample: 15, mc_sample: 10, mean reward: 26.757, std reward: 4.343
sample: 16, mc_sample: 10, mean reward: 25.091, std reward: 3.145
sample: 17, mc_sample: 10, mean reward: 23.986, std reward: 2.699
sample: 18, mc_sample: 10, mean reward: 29.988, std reward: 3.258
sample: 19, mc_sample: 10, mean reward: 25.964, std reward: 3.015
sample: 20, mc_sample: 10, mean reward: 19.812, std reward: 2.364
sample: 21, mc_sample: 10, mean reward: 27.416, std reward: 3.394
sample: 22, mc_sample: 10, mean reward: 34.749, std reward: 3.197
sample: 23, mc_sample: 10, mean reward: 31.143, std reward: 3.639
sample: 24, mc_sample: 10, mean reward: 24.459, std reward: 3.468
sample: 25, mc_sample: 10, mean reward: 19.903, std reward: 3.969
sample: 26, mc_sample: 10, mean reward: 18.651, std reward: 2.644
sample: 27, mc_sample: 10, mean reward: 26.23, std reward: 3.54
sample: 28, mc_sample: 10, mean reward: 26.451, std reward: 2.92
sample: 29, mc_sample: 10, mean reward: 27.367, std reward: 3.851
sample: 30, mc_sample: 10, mean reward: 27.919, std reward: 4.181
sample: 31, mc_sample: 10, mean reward: 27.3, std reward: 4.693
sample: 32, mc_sample: 10, mean reward: 31.643, std reward: 4.917
sample: 33, mc_sample: 10, mean reward: 31.862, std reward: 5.931
sample: 34, mc_sample: 10, mean reward: 33.471, std reward: 3.775
sample: 35, mc_sample: 10, mean reward: 18.177, std reward: 1.988
sample: 36, mc_sample: 10, mean reward: 25.44, std reward: 3.057
sample: 37, mc_sample: 10, mean reward: 23.907, std reward: 3.581
sample: 38, mc_sample: 10, mean reward: 32.925, std reward: 4.018
sample: 39, mc_sample: 10, mean reward: 32.939, std reward: 4.118
sample: 40, mc_sample: 10, mean reward: 32.117, std reward: 3.771
sample: 41, mc_sample: 10, mean reward: 27.344, std reward: 3.469
sample: 42, mc_sample: 10, mean reward: 25.471, std reward: 2.271
sample: 43, mc_sample: 10, mean reward: 40.161, std reward: 6.31
sample: 44, mc_sample: 10, mean reward: 29.232, std reward: 3.113
sample: 45, mc_sample: 10, mean reward: 25.249, std reward: 2.927
sample: 46, mc_sample: 10, mean reward: 25.864, std reward: 3.548
sample: 47, mc_sample: 10, mean reward: 27.675, std reward: 1.644
sample: 48, mc_sample: 10, mean reward: 33.303, std reward: 3.656
sample: 49, mc_sample: 10, mean reward: 36.432, std reward: 3.002
sample: 50, mc_sample: 10, mean reward: 38.85, std reward: 4.536
sample: 51, mc_sample: 10, mean reward: 26.586, std reward: 3.063
sample: 52, mc_sample: 10, mean reward: 35.037, std reward: 4.687
sample: 53, mc_sample: 10, mean reward: 26.836, std reward: 3.236
sample: 54, mc_sample: 10, mean reward: 38.539, std reward: 2.473
sample: 55, mc_sample: 10, mean reward: 39.632, std reward: 5.212
sample: 56, mc_sample: 10, mean reward: 20.122, std reward: 2.513
sample: 57, mc_sample: 10, mean reward: 20.736, std reward: 2.881
sample: 58, mc_sample: 10, mean reward: 41.373, std reward: 4.908
sample: 59, mc_sample: 10, mean reward: 28.627, std reward: 2.664
sample: 60, mc_sample: 10, mean reward: 31.307, std reward: 5.462
sample: 61, mc_sample: 10, mean reward: 28.154, std reward: 3.093
sample: 62, mc_sample: 10, mean reward: 31.164, std reward: 2.895
sample: 63, mc_sample: 10, mean reward: 35.16, std reward: 4.291
sample: 64, mc_sample: 10, mean reward: 28.321, std reward: 4.946
sample: 65, mc_sample: 10, mean reward: 30.817, std reward: 2.938
sample: 66, mc_sample: 10, mean reward: 23.569, std reward: 2.779
sample: 67, mc_sample: 10, mean reward: 36.114, std reward: 3.032
sample: 68, mc_sample: 10, mean reward: 29.962, std reward: 3.679
sample: 69, mc_sample: 10, mean reward: 28.925, std reward: 2.466
sample: 70, mc_sample: 10, mean reward: 22.497, std reward: 2.237
sample: 71, mc_sample: 10, mean reward: 22.608, std reward: 2.278
sample: 72, mc_sample: 10, mean reward: 34.376, std reward: 3.968
sample: 73, mc_sample: 10, mean reward: 21.59, std reward: 2.822
sample: 74, mc_sample: 10, mean reward: 31.036, std reward: 3.788
sample: 75, mc_sample: 10, mean reward: 37.197, std reward: 3.957
sample: 76, mc_sample: 10, mean reward: 37.328, std reward: 3.601
sample: 77, mc_sample: 10, mean reward: 33.908, std reward: 3.025
sample: 78, mc_sample: 10, mean reward: 37.786, std reward: 2.802
sample: 79, mc_sample: 10, mean reward: 36.083, std reward: 4.753
sample: 80, mc_sample: 10, mean reward: 34.855, std reward: 4.857
sample: 81, mc_sample: 10, mean reward: 33.34, std reward: 3.433
sample: 82, mc_sample: 10, mean reward: 35.49, std reward: 4.59
sample: 83, mc_sample: 10, mean reward: 28.786, std reward: 3.652
sample: 84, mc_sample: 10, mean reward: 37.799, std reward: 3.488
sample: 85, mc_sample: 10, mean reward: 31.338, std reward: 2.501
sample: 86, mc_sample: 10, mean reward: 27.987, std reward: 2.654
sample: 87, mc_sample: 10, mean reward: 39.345, std reward: 3.144
sample: 88, mc_sample: 10, mean reward: 23.568, std reward: 1.782
sample: 89, mc_sample: 10, mean reward: 36.306, std reward: 4.182
sample: 90, mc_sample: 10, mean reward: 28.032, std reward: 2.951
sample: 91, mc_sample: 10, mean reward: 29.989, std reward: 3.685
sample: 92, mc_sample: 10, mean reward: 17.149, std reward: 3.448
sample: 93, mc_sample: 10, mean reward: 32.158, std reward: 4.805
sample: 94, mc_sample: 10, mean reward: 29.798, std reward: 3.657
sample: 95, mc_sample: 10, mean reward: 28.477, std reward: 2.41
sample: 96, mc_sample: 10, mean reward: 32.421, std reward: 3.089
sample: 97, mc_sample: 10, mean reward: 31.043, std reward: 3.853
sample: 98, mc_sample: 10, mean reward: 42.149, std reward: 5.31
sample: 99, mc_sample: 10, mean reward: 34.115, std reward: 4.817
sample: 100, mc_sample: 10, mean reward: 33.975, std reward: 3.07
sample: 101, mc_sample: 10, mean reward: 31.409, std reward: 4.413
sample: 102, mc_sample: 10, mean reward: 28.73, std reward: 4.321
sample: 103, mc_sample: 10, mean reward: 23.815, std reward: 3.156
sample: 104, mc_sample: 10, mean reward: 27.784, std reward: 4.372
sample: 105, mc_sample: 10, mean reward: 21.328, std reward: 1.629
sample: 106, mc_sample: 10, mean reward: 25.936, std reward: 2.799
sample: 107, mc_sample: 10, mean reward: 23.837, std reward: 3.225
sample: 108, mc_sample: 10, mean reward: 38.215, std reward: 3.54
sample: 109, mc_sample: 10, mean reward: 33.947, std reward: 2.534
sample: 110, mc_sample: 10, mean reward: 22.229, std reward: 3.331
sample: 111, mc_sample: 10, mean reward: 38.915, std reward: 3.724
sample: 112, mc_sample: 10, mean reward: 34.547, std reward: 5.042
sample: 113, mc_sample: 10, mean reward: 36.52, std reward: 3.2
sample: 114, mc_sample: 10, mean reward: 32.415, std reward: 3.679
sample: 115, mc_sample: 10, mean reward: 30.482, std reward: 4.502
sample: 116, mc_sample: 10, mean reward: 33.085, std reward: 3.403
sample: 117, mc_sample: 10, mean reward: 32.687, std reward: 2.432
sample: 118, mc_sample: 10, mean reward: 35.625, std reward: 4.523
sample: 119, mc_sample: 10, mean reward: 22.843, std reward: 4.647
sample: 120, mc_sample: 10, mean reward: 26.843, std reward: 4.738
sample: 121, mc_sample: 10, mean reward: 23.86, std reward: 3.099
sample: 122, mc_sample: 10, mean reward: 27.342, std reward: 3.625
sample: 123, mc_sample: 10, mean reward: 17.698, std reward: 1.9
sample: 124, mc_sample: 10, mean reward: 28.504, std reward: 3.136
sample: 125, mc_sample: 10, mean reward: 28.973, std reward: 3.449
sample: 126, mc_sample: 10, mean reward: 25.529, std reward: 4.297
sample: 127, mc_sample: 10, mean reward: 19.261, std reward: 2.997
sample: 128, mc_sample: 10, mean reward: 24.721, std reward: 2.532
sample: 129, mc_sample: 10, mean reward: 21.863, std reward: 1.25
sample: 130, mc_sample: 10, mean reward: 24.265, std reward: 3.336
sample: 131, mc_sample: 10, mean reward: 32.618, std reward: 3.832
sample: 132, mc_sample: 10, mean reward: 28.382, std reward: 3.66
sample: 133, mc_sample: 10, mean reward: 30.31, std reward: 3.231
sample: 134, mc_sample: 10, mean reward: 37.294, std reward: 3.558
sample: 135, mc_sample: 10, mean reward: 30.385, std reward: 2.823
sample: 136, mc_sample: 10, mean reward: 24.47, std reward: 3.91
sample: 137, mc_sample: 10, mean reward: 23.817, std reward: 2.962
sample: 138, mc_sample: 10, mean reward: 29.252, std reward: 3.087
sample: 139, mc_sample: 10, mean reward: 28.648, std reward: 2.944
sample: 140, mc_sample: 10, mean reward: 34.018, std reward: 5.063
sample: 141, mc_sample: 10, mean reward: 33.846, std reward: 4.426
sample: 142, mc_sample: 10, mean reward: 42.876, std reward: 4.869
sample: 143, mc_sample: 10, mean reward: 34.961, std reward: 3.056
sample: 144, mc_sample: 10, mean reward: 28.517, std reward: 1.774
sample: 145, mc_sample: 10, mean reward: 28.906, std reward: 2.509
sample: 146, mc_sample: 10, mean reward: 29.197, std reward: 1.87
sample: 147, mc_sample: 10, mean reward: 33.032, std reward: 5.053
sample: 148, mc_sample: 10, mean reward: 19.368, std reward: 2.703
sample: 149, mc_sample: 10, mean reward: 41.79, std reward: 4.583
sample: 150, mc_sample: 10, mean reward: 30.884, std reward: 4.072
sample: 151, mc_sample: 10, mean reward: 31.989, std reward: 3.302
sample: 152, mc_sample: 10, mean reward: 26.49, std reward: 4.237
sample: 153, mc_sample: 10, mean reward: 28.819, std reward: 4.03
sample: 154, mc_sample: 10, mean reward: 26.949, std reward: 4.329
sample: 155, mc_sample: 10, mean reward: 28.975, std reward: 3.49
sample: 156, mc_sample: 10, mean reward: 22.7, std reward: 2.963
sample: 157, mc_sample: 10, mean reward: 27.427, std reward: 5.21
sample: 158, mc_sample: 10, mean reward: 39.252, std reward: 3.986
sample: 159, mc_sample: 10, mean reward: 36.957, std reward: 4.406
sample: 160, mc_sample: 10, mean reward: 24.341, std reward: 3.247
sample: 161, mc_sample: 10, mean reward: 29.641, std reward: 3.912
sample: 162, mc_sample: 10, mean reward: 36.16, std reward: 6.243
sample: 163, mc_sample: 10, mean reward: 36.578, std reward: 3.268
sample: 164, mc_sample: 10, mean reward: 28.869, std reward: 2.693
sample: 165, mc_sample: 10, mean reward: 30.563, std reward: 3.62
sample: 166, mc_sample: 10, mean reward: 29.037, std reward: 3.758
sample: 167, mc_sample: 10, mean reward: 36.729, std reward: 4.271
sample: 168, mc_sample: 10, mean reward: 25.533, std reward: 2.701
sample: 169, mc_sample: 10, mean reward: 33.36, std reward: 4.395
sample: 170, mc_sample: 10, mean reward: 31.189, std reward: 3.922
sample: 171, mc_sample: 10, mean reward: 29.242, std reward: 2.809
sample: 172, mc_sample: 10, mean reward: 30.701, std reward: 2.994
sample: 173, mc_sample: 10, mean reward: 32.348, std reward: 4.168
sample: 174, mc_sample: 10, mean reward: 31.235, std reward: 2.704
sample: 175, mc_sample: 10, mean reward: 23.206, std reward: 2.934
sample: 176, mc_sample: 10, mean reward: 39.111, std reward: 4.418
sample: 177, mc_sample: 10, mean reward: 34.694, std reward: 4.294
sample: 178, mc_sample: 10, mean reward: 23.777, std reward: 3.0
sample: 179, mc_sample: 10, mean reward: 27.341, std reward: 4.967
sample: 180, mc_sample: 10, mean reward: 33.302, std reward: 5.953
sample: 181, mc_sample: 10, mean reward: 27.61, std reward: 2.028
sample: 182, mc_sample: 10, mean reward: 31.589, std reward: 4.84
sample: 183, mc_sample: 10, mean reward: 35.551, std reward: 3.313
sample: 184, mc_sample: 10, mean reward: 29.76, std reward: 3.375
sample: 185, mc_sample: 10, mean reward: 38.567, std reward: 4.37
sample: 186, mc_sample: 10, mean reward: 40.464, std reward: 4.23
sample: 187, mc_sample: 10, mean reward: 37.326, std reward: 4.399
sample: 188, mc_sample: 10, mean reward: 29.813, std reward: 3.638
sample: 189, mc_sample: 10, mean reward: 34.752, std reward: 3.068
sample: 190, mc_sample: 10, mean reward: 37.802, std reward: 1.973
sample: 191, mc_sample: 10, mean reward: 33.376, std reward: 3.479
sample: 192, mc_sample: 10, mean reward: 29.685, std reward: 3.482
sample: 193, mc_sample: 10, mean reward: 38.317, std reward: 5.441
sample: 194, mc_sample: 10, mean reward: 39.228, std reward: 3.003
sample: 195, mc_sample: 10, mean reward: 29.808, std reward: 3.417
sample: 196, mc_sample: 10, mean reward: 36.481, std reward: 3.717
sample: 197, mc_sample: 10, mean reward: 23.536, std reward: 3.559
sample: 198, mc_sample: 10, mean reward: 25.458, std reward: 4.519
sample: 199, mc_sample: 10, mean reward: 23.39, std reward: 2.508
sample: 200, mc_sample: 10, mean reward: 20.626, std reward: 3.73
sample: 201, mc_sample: 10, mean reward: 22.903, std reward: 4.057
sample: 202, mc_sample: 10, mean reward: 44.038, std reward: 4.72
sample: 203, mc_sample: 10, mean reward: 36.336, std reward: 5.384
sample: 204, mc_sample: 10, mean reward: 32.024, std reward: 1.829
sample: 205, mc_sample: 10, mean reward: 37.778, std reward: 3.821
sample: 206, mc_sample: 10, mean reward: 35.277, std reward: 3.136
sample: 207, mc_sample: 10, mean reward: 30.797, std reward: 2.817
sample: 208, mc_sample: 10, mean reward: 37.556, std reward: 4.352
sample: 209, mc_sample: 10, mean reward: 28.365, std reward: 2.454
sample: 210, mc_sample: 10, mean reward: 17.031, std reward: 2.84
sample: 211, mc_sample: 10, mean reward: 25.5, std reward: 2.833
sample: 212, mc_sample: 10, mean reward: 27.119, std reward: 4.955
sample: 213, mc_sample: 10, mean reward: 34.713, std reward: 2.658
sample: 214, mc_sample: 10, mean reward: 28.443, std reward: 4.299
sample: 215, mc_sample: 10, mean reward: 37.262, std reward: 4.218
sample: 216, mc_sample: 10, mean reward: 27.937, std reward: 2.916
sample: 217, mc_sample: 10, mean reward: 28.223, std reward: 3.327
sample: 218, mc_sample: 10, mean reward: 41.682, std reward: 5.171
sample: 219, mc_sample: 10, mean reward: 30.523, std reward: 2.693
sample: 220, mc_sample: 10, mean reward: 32.992, std reward: 2.218
sample: 221, mc_sample: 10, mean reward: 29.455, std reward: 4.018
sample: 222, mc_sample: 10, mean reward: 24.469, std reward: 4.553
sample: 223, mc_sample: 10, mean reward: 28.624, std reward: 5.087
sample: 224, mc_sample: 10, mean reward: 29.592, std reward: 3.36
sample: 225, mc_sample: 10, mean reward: 24.128, std reward: 2.252
sample: 226, mc_sample: 10, mean reward: 37.248, std reward: 2.511
sample: 227, mc_sample: 10, mean reward: 37.644, std reward: 5.174
sample: 228, mc_sample: 10, mean reward: 29.332, std reward: 2.69
sample: 229, mc_sample: 10, mean reward: 36.053, std reward: 4.914
sample: 230, mc_sample: 10, mean reward: 21.253, std reward: 2.506
sample: 231, mc_sample: 10, mean reward: 32.482, std reward: 4.122
sample: 232, mc_sample: 10, mean reward: 37.325, std reward: 4.338
sample: 233, mc_sample: 10, mean reward: 37.877, std reward: 7.563
sample: 234, mc_sample: 10, mean reward: 39.694, std reward: 5.059
sample: 235, mc_sample: 10, mean reward: 33.628, std reward: 2.961
sample: 236, mc_sample: 10, mean reward: 22.898, std reward: 2.781
sample: 237, mc_sample: 10, mean reward: 22.873, std reward: 3.204
sample: 238, mc_sample: 10, mean reward: 28.192, std reward: 4.335
sample: 239, mc_sample: 10, mean reward: 35.512, std reward: 5.027
sample: 240, mc_sample: 10, mean reward: 34.939, std reward: 2.02
sample: 241, mc_sample: 10, mean reward: 37.489, std reward: 2.613
sample: 242, mc_sample: 10, mean reward: 31.789, std reward: 2.399
sample: 243, mc_sample: 10, mean reward: 39.813, std reward: 4.849
sample: 244, mc_sample: 10, mean reward: 33.539, std reward: 2.382
sample: 245, mc_sample: 10, mean reward: 36.208, std reward: 5.077
sample: 246, mc_sample: 10, mean reward: 26.957, std reward: 3.386
sample: 247, mc_sample: 10, mean reward: 34.71, std reward: 3.427
sample: 248, mc_sample: 10, mean reward: 37.754, std reward: 4.235
sample: 249, mc_sample: 10, mean reward: 37.786, std reward: 3.768
sample: 250, mc_sample: 10, mean reward: 38.705, std reward: 3.112
sample: 251, mc_sample: 10, mean reward: 33.61, std reward: 3.55
sample: 252, mc_sample: 10, mean reward: 23.541, std reward: 4.503
sample: 253, mc_sample: 10, mean reward: 30.042, std reward: 3.941
sample: 254, mc_sample: 10, mean reward: 34.293, std reward: 4.701
sample: 255, mc_sample: 10, mean reward: 39.858, std reward: 4.055
sample: 256, mc_sample: 10, mean reward: 30.45, std reward: 4.386
sample: 257, mc_sample: 10, mean reward: 22.05, std reward: 3.122
sample: 258, mc_sample: 10, mean reward: 34.347, std reward: 3.81
sample: 259, mc_sample: 10, mean reward: 37.526, std reward: 4.068
sample: 260, mc_sample: 10, mean reward: 38.211, std reward: 3.334
sample: 261, mc_sample: 10, mean reward: 39.988, std reward: 4.636
sample: 262, mc_sample: 10, mean reward: 33.049, std reward: 4.344
sample: 263, mc_sample: 10, mean reward: 30.03, std reward: 3.826
sample: 264, mc_sample: 10, mean reward: 24.695, std reward: 3.784
sample: 265, mc_sample: 10, mean reward: 36.196, std reward: 3.433
sample: 266, mc_sample: 10, mean reward: 36.574, std reward: 4.384
sample: 267, mc_sample: 10, mean reward: 31.631, std reward: 3.429
sample: 268, mc_sample: 10, mean reward: 29.223, std reward: 3.631
sample: 269, mc_sample: 10, mean reward: 42.671, std reward: 2.464
sample: 270, mc_sample: 10, mean reward: 19.044, std reward: 3.233
sample: 271, mc_sample: 10, mean reward: 41.049, std reward: 4.882
sample: 272, mc_sample: 10, mean reward: 27.592, std reward: 2.812
