sample: 0, mc_sample: 15, mean reward: 50.982, std reward: 15.428
sample: 1, mc_sample: 15, mean reward: 51.633, std reward: 14.415
sample: 2, mc_sample: 15, mean reward: 44.779, std reward: 15.33
sample: 3, mc_sample: 15, mean reward: 62.989, std reward: 13.148
sample: 4, mc_sample: 15, mean reward: 49.608, std reward: 15.062
sample: 5, mc_sample: 15, mean reward: 42.335, std reward: 19.129
sample: 6, mc_sample: 15, mean reward: 55.416, std reward: 14.097
sample: 7, mc_sample: 15, mean reward: 43.601, std reward: 17.056
sample: 8, mc_sample: 15, mean reward: 52.197, std reward: 13.767
sample: 9, mc_sample: 15, mean reward: 49.521, std reward: 21.857
sample: 10, mc_sample: 15, mean reward: 59.312, std reward: 12.415
sample: 11, mc_sample: 15, mean reward: 55.676, std reward: 9.276
sample: 12, mc_sample: 15, mean reward: 55.176, std reward: 15.865
sample: 13, mc_sample: 15, mean reward: 59.059, std reward: 16.712
sample: 14, mc_sample: 15, mean reward: 51.598, std reward: 19.354
sample: 15, mc_sample: 15, mean reward: 50.076, std reward: 15.627
sample: 16, mc_sample: 15, mean reward: 52.257, std reward: 20.094
sample: 17, mc_sample: 15, mean reward: 56.555, std reward: 11.331
sample: 18, mc_sample: 15, mean reward: 61.273, std reward: 9.91
sample: 19, mc_sample: 15, mean reward: 47.846, std reward: 14.826
sample: 20, mc_sample: 15, mean reward: 41.402, std reward: 23.565
sample: 21, mc_sample: 15, mean reward: 54.419, std reward: 13.343
sample: 22, mc_sample: 15, mean reward: 47.634, std reward: 13.446
sample: 23, mc_sample: 15, mean reward: 48.82, std reward: 15.899
sample: 24, mc_sample: 15, mean reward: 45.747, std reward: 12.959
sample: 25, mc_sample: 15, mean reward: 72.079, std reward: 8.954
sample: 26, mc_sample: 15, mean reward: 75.533, std reward: 4.753
sample: 27, mc_sample: 15, mean reward: 70.1, std reward: 7.812
sample: 28, mc_sample: 15, mean reward: 74.033, std reward: 2.809
sample: 29, mc_sample: 15, mean reward: 71.28, std reward: 6.905
sample: 30, mc_sample: 15, mean reward: 73.939, std reward: 6.561
sample: 31, mc_sample: 15, mean reward: 72.443, std reward: 3.49
sample: 32, mc_sample: 15, mean reward: 69.713, std reward: 4.857
sample: 33, mc_sample: 15, mean reward: 70.193, std reward: 5.75
sample: 34, mc_sample: 15, mean reward: 72.183, std reward: 5.163
sample: 35, mc_sample: 15, mean reward: 69.815, std reward: 6.132
sample: 36, mc_sample: 15, mean reward: 70.76, std reward: 6.558
sample: 37, mc_sample: 15, mean reward: 67.448, std reward: 11.48
sample: 38, mc_sample: 15, mean reward: 68.166, std reward: 8.284
sample: 39, mc_sample: 15, mean reward: 72.929, std reward: 7.829
sample: 40, mc_sample: 15, mean reward: 69.634, std reward: 6.887
sample: 41, mc_sample: 15, mean reward: 72.803, std reward: 6.887
sample: 42, mc_sample: 15, mean reward: 69.624, std reward: 7.53
sample: 43, mc_sample: 15, mean reward: 68.875, std reward: 6.85
sample: 44, mc_sample: 15, mean reward: 73.011, std reward: 3.71
sample: 45, mc_sample: 15, mean reward: 71.903, std reward: 5.062
sample: 46, mc_sample: 15, mean reward: 72.396, std reward: 6.287
