sample: 0, mc_sample: 10, mean reward: 45.549, std reward: 10.766
sample: 1, mc_sample: 10, mean reward: 33.762, std reward: 13.603
sample: 2, mc_sample: 10, mean reward: 26.057, std reward: 13.699
sample: 3, mc_sample: 10, mean reward: 45.524, std reward: 14.356
sample: 4, mc_sample: 10, mean reward: 24.953, std reward: 14.202
sample: 5, mc_sample: 10, mean reward: 16.867, std reward: 10.729
sample: 6, mc_sample: 10, mean reward: 27.19, std reward: 14.61
sample: 7, mc_sample: 10, mean reward: 38.942, std reward: 17.047
sample: 8, mc_sample: 10, mean reward: 26.839, std reward: 13.488
sample: 9, mc_sample: 10, mean reward: 28.173, std reward: 16.141
sample: 10, mc_sample: 10, mean reward: 31.389, std reward: 17.531
sample: 11, mc_sample: 10, mean reward: 23.395, std reward: 14.046
sample: 12, mc_sample: 10, mean reward: 27.608, std reward: 11.403
sample: 13, mc_sample: 10, mean reward: 38.626, std reward: 12.93
sample: 14, mc_sample: 10, mean reward: 46.067, std reward: 9.924
sample: 15, mc_sample: 10, mean reward: 30.075, std reward: 10.468
sample: 16, mc_sample: 10, mean reward: 39.559, std reward: 16.911
sample: 17, mc_sample: 10, mean reward: 18.194, std reward: 12.377
sample: 18, mc_sample: 10, mean reward: 27.632, std reward: 14.097
sample: 19, mc_sample: 10, mean reward: 37.677, std reward: 14.145
sample: 20, mc_sample: 10, mean reward: 34.419, std reward: 14.36
sample: 21, mc_sample: 10, mean reward: 38.835, std reward: 18.254
sample: 22, mc_sample: 10, mean reward: 20.832, std reward: 13.969
sample: 23, mc_sample: 10, mean reward: 43.948, std reward: 14.412
sample: 24, mc_sample: 10, mean reward: 17.432, std reward: 13.746
sample: 25, mc_sample: 10, mean reward: 60.796, std reward: 10.723
sample: 26, mc_sample: 10, mean reward: 57.335, std reward: 5.79
sample: 27, mc_sample: 10, mean reward: 61.142, std reward: 13.702
sample: 28, mc_sample: 10, mean reward: 54.207, std reward: 6.239
sample: 29, mc_sample: 10, mean reward: 65.544, std reward: 8.566
sample: 30, mc_sample: 10, mean reward: 63.169, std reward: 5.727
sample: 31, mc_sample: 10, mean reward: 68.031, std reward: 4.467
sample: 32, mc_sample: 10, mean reward: 55.503, std reward: 8.65
sample: 33, mc_sample: 10, mean reward: 66.818, std reward: 7.488
sample: 34, mc_sample: 10, mean reward: 52.366, std reward: 14.431
sample: 35, mc_sample: 10, mean reward: 64.036, std reward: 11.215
sample: 36, mc_sample: 10, mean reward: 52.946, std reward: 6.635
sample: 37, mc_sample: 10, mean reward: 63.324, std reward: 11.52
sample: 38, mc_sample: 10, mean reward: 59.457, std reward: 11.001
sample: 39, mc_sample: 10, mean reward: 69.321, std reward: 9.601
sample: 40, mc_sample: 10, mean reward: 56.53, std reward: 7.225
sample: 41, mc_sample: 10, mean reward: 66.067, std reward: 7.925
sample: 42, mc_sample: 10, mean reward: 65.308, std reward: 8.699
sample: 43, mc_sample: 10, mean reward: 66.134, std reward: 5.604
sample: 44, mc_sample: 10, mean reward: 58.195, std reward: 9.905
sample: 45, mc_sample: 10, mean reward: 62.794, std reward: 9.133
sample: 46, mc_sample: 10, mean reward: 64.114, std reward: 7.424
sample: 47, mc_sample: 10, mean reward: 66.21, std reward: 7.667
sample: 48, mc_sample: 10, mean reward: 63.914, std reward: 10.426
sample: 49, mc_sample: 10, mean reward: 61.016, std reward: 8.491
sample: 50, mc_sample: 10, mean reward: 69.284, std reward: 6.15
sample: 51, mc_sample: 10, mean reward: 65.027, std reward: 8.766
sample: 52, mc_sample: 10, mean reward: 66.063, std reward: 5.149
sample: 53, mc_sample: 10, mean reward: 67.233, std reward: 4.222
sample: 54, mc_sample: 10, mean reward: 65.832, std reward: 9.57
sample: 55, mc_sample: 10, mean reward: 70.644, std reward: 12.511
sample: 56, mc_sample: 10, mean reward: 64.666, std reward: 7.116
sample: 57, mc_sample: 10, mean reward: 69.988, std reward: 8.933
sample: 58, mc_sample: 10, mean reward: 67.387, std reward: 4.383
sample: 59, mc_sample: 10, mean reward: 62.472, std reward: 10.861
sample: 60, mc_sample: 10, mean reward: 65.673, std reward: 8.771
sample: 61, mc_sample: 10, mean reward: 72.263, std reward: 4.005
sample: 62, mc_sample: 10, mean reward: 69.781, std reward: 8.995
sample: 63, mc_sample: 10, mean reward: 69.073, std reward: 7.062
sample: 64, mc_sample: 10, mean reward: 75.215, std reward: 5.024
sample: 65, mc_sample: 10, mean reward: 70.486, std reward: 7.185
sample: 66, mc_sample: 10, mean reward: 70.406, std reward: 6.02
sample: 67, mc_sample: 10, mean reward: 71.32, std reward: 5.88
sample: 68, mc_sample: 10, mean reward: 62.888, std reward: 8.407
sample: 69, mc_sample: 10, mean reward: 64.853, std reward: 7.51
sample: 70, mc_sample: 10, mean reward: 71.582, std reward: 7.768
sample: 71, mc_sample: 10, mean reward: 65.172, std reward: 6.708
sample: 72, mc_sample: 10, mean reward: 68.233, std reward: 6.186
sample: 73, mc_sample: 10, mean reward: 67.856, std reward: 9.721
sample: 74, mc_sample: 10, mean reward: 68.719, std reward: 6.432
sample: 75, mc_sample: 10, mean reward: 71.413, std reward: 5.514
sample: 76, mc_sample: 10, mean reward: 72.984, std reward: 5.15
sample: 77, mc_sample: 10, mean reward: 71.291, std reward: 5.047
sample: 78, mc_sample: 10, mean reward: 71.341, std reward: 4.911
sample: 79, mc_sample: 10, mean reward: 71.538, std reward: 7.884
sample: 80, mc_sample: 10, mean reward: 70.64, std reward: 2.321
sample: 81, mc_sample: 10, mean reward: 74.873, std reward: 4.036
sample: 82, mc_sample: 10, mean reward: 73.325, std reward: 4.577
sample: 83, mc_sample: 10, mean reward: 69.353, std reward: 8.035
sample: 84, mc_sample: 10, mean reward: 71.539, std reward: 6.448
sample: 85, mc_sample: 10, mean reward: 70.959, std reward: 5.928
sample: 86, mc_sample: 10, mean reward: 70.1, std reward: 8.79
sample: 87, mc_sample: 10, mean reward: 71.19, std reward: 3.913
sample: 88, mc_sample: 10, mean reward: 69.162, std reward: 7.673
sample: 89, mc_sample: 10, mean reward: 73.849, std reward: 6.774
sample: 90, mc_sample: 10, mean reward: 70.387, std reward: 4.912
sample: 91, mc_sample: 10, mean reward: 73.739, std reward: 6.592
sample: 92, mc_sample: 10, mean reward: 72.079, std reward: 5.876
sample: 93, mc_sample: 10, mean reward: 68.637, std reward: 9.078
sample: 94, mc_sample: 10, mean reward: 72.086, std reward: 4.894
sample: 95, mc_sample: 10, mean reward: 71.046, std reward: 8.025
sample: 96, mc_sample: 10, mean reward: 74.346, std reward: 3.465
sample: 97, mc_sample: 10, mean reward: 76.894, std reward: 4.62
sample: 98, mc_sample: 10, mean reward: 69.275, std reward: 7.559
sample: 99, mc_sample: 10, mean reward: 72.768, std reward: 4.317
sample: 100, mc_sample: 10, mean reward: 72.671, std reward: 5.472
sample: 101, mc_sample: 10, mean reward: 68.145, std reward: 4.674
sample: 102, mc_sample: 10, mean reward: 74.37, std reward: 4.753
sample: 103, mc_sample: 10, mean reward: 75.104, std reward: 3.736
sample: 104, mc_sample: 10, mean reward: 74.147, std reward: 5.146
sample: 105, mc_sample: 10, mean reward: 74.512, std reward: 5.791
sample: 106, mc_sample: 10, mean reward: 69.163, std reward: 6.011
sample: 107, mc_sample: 10, mean reward: 71.989, std reward: 3.83
sample: 108, mc_sample: 10, mean reward: 69.81, std reward: 8.661
sample: 109, mc_sample: 10, mean reward: 72.916, std reward: 3.465
sample: 110, mc_sample: 10, mean reward: 74.525, std reward: 5.627
sample: 111, mc_sample: 10, mean reward: 71.593, std reward: 6.869
sample: 112, mc_sample: 10, mean reward: 73.954, std reward: 3.15
sample: 113, mc_sample: 10, mean reward: 72.248, std reward: 8.423
sample: 114, mc_sample: 10, mean reward: 74.959, std reward: 2.011
sample: 115, mc_sample: 10, mean reward: 70.841, std reward: 4.123
sample: 116, mc_sample: 10, mean reward: 72.634, std reward: 7.13
sample: 117, mc_sample: 10, mean reward: 71.561, std reward: 6.814
sample: 118, mc_sample: 10, mean reward: 75.01, std reward: 4.561
sample: 119, mc_sample: 10, mean reward: 72.149, std reward: 5.743
sample: 120, mc_sample: 10, mean reward: 72.15, std reward: 8.483
sample: 121, mc_sample: 10, mean reward: 71.688, std reward: 7.367
sample: 122, mc_sample: 10, mean reward: 72.282, std reward: 3.741
sample: 123, mc_sample: 10, mean reward: 70.658, std reward: 3.444
